date,portfolio_gross_return,portfolio_net_return,turnover,transaction_cost,active_positions,cumulative_strategy,benchmark_return,cumulative_benchmark,excess_return,drawdown,rolling_volatility,rolling_sharpe
2024-01-02,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-03,0.0,0.0,0.0,0.0,0,1.0,0.0032565967764687973,1.0032565967764688,-0.0032565967764687973,0.0,0.0,0.0
2024-01-04,0.0,0.0,0.0,0.0,0,1.0,-5.48563275581578e-05,1.0032015618039711,5.48563275581578e-05,0.0,0.0,0.0
2024-01-05,0.0,0.0,0.0,0.0,0,1.0,0.0016631438882681964,1.0048700303501865,-0.0016631438882681964,0.0,0.0,0.0
2024-01-08,0.0,0.0,0.0,0.0,0,1.0,0.007717701058098288,1.0126253168466712,-0.007717701058098288,0.0,0.0,0.0
2024-01-09,0.0,0.0,0.0,0.0,0,1.0,0.006250668546120071,1.0189549020636897,-0.006250668546120071,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.0,0.0,0,1.0,-0.0062517219244243956,1.0125846793624584,0.0062517219244243956,0.0,0.0,0.0
2024-01-11,0.0,0.0,0.0,0.0,0,1.0,0.005460237352817865,1.0181136320516044,-0.005460237352817865,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0,0,1.0,0.016008075749546807,1.0344116721951329,-0.016008075749546807,0.0,0.0,0.0
2024-01-15,0.0,0.0,0.0,0.0,0,1.0,-0.002371070582168603,1.0319590091093391,0.002371070582168603,0.0,0.0,0.0
2024-01-16,0.0,0.0,0.0,0.0,0,1.0,-0.004918048266928136,1.026883784893048,0.004918048266928136,0.0,0.0,0.0
2024-01-17,0.0,0.0,0.0,0.0,0,1.0,0.011205326546199545,1.038390353027772,-0.011205326546199545,0.0,0.0,0.0
2024-01-18,0.0,0.0,0.0,0.0,0,1.0,0.006040442909774346,1.0446626906732965,-0.006040442909774346,0.0,0.0,0.0
2024-01-19,0.0,0.0,0.0,0.0,0,1.0,-0.005293560441371303,1.0391327055793718,0.005293560441371303,0.0,0.0,0.0
2024-01-22,0.0,0.0,0.0,0.0,0,1.0,0.00424405530946718,1.043542842255727,-0.00424405530946718,0.0,0.0,0.0
2024-01-23,0.0,0.0,0.0,0.0,0,1.0,0.0020901286659293175,1.045723981064451,-0.0020901286659293175,0.0,0.0,0.0
2024-01-24,0.0,0.0,0.0,0.0,0,1.0,0.005899027955328669,1.0518927360623076,-0.005899027955328669,0.0,0.0,0.0
2024-01-25,0.0,0.0,0.0,0.0,0,1.0,0.005211783442930755,1.0573749732078563,-0.005211783442930755,0.0,0.0,0.0
